Time	Event	Details
2024-10-11 14:07:14	Mouse Move	Significant Movement to (505, 158)
2024-10-11 14:07:14	Mouse Click	Button Button.left at (173, 105)
2024-10-11 14:07:14	Mouse Release	Button Button.left at (173, 105)
2024-10-11 14:07:16	Mouse Click	Button Button.left at (359, 230)
2024-10-11 14:07:17	Mouse Release	Button Button.left at (359, 230)
2024-10-11 14:07:17	Mouse Move	Significant Movement to (902, 448)
2024-10-11 14:07:17	Mouse Move	Significant Movement to (1365, 736)
2024-10-11 14:07:18	Mouse Click	Button Button.left at (1336, 769)
2024-10-11 14:07:18	Mouse Release	Button Button.left at (1336, 769)
2024-10-11 14:07:19	Mouse Move	Significant Movement to (853, 471)
2024-10-11 14:07:20	Mouse Click	Button Button.left at (386, 256)
2024-10-11 14:07:20	Mouse Release	Button Button.left at (520, 275)
2024-10-11 14:07:21	Mouse Click	Button Button.left at (394, 265)
2024-10-11 14:07:21	Mouse Release	Button Button.left at (375, 439)
2024-10-11 14:07:22	Mouse Move	Significant Movement to (360, 183)
2024-10-11 14:07:22	Mouse Click	Button Button.left at (298, 103)
2024-10-11 14:07:22	Mouse Move	Significant Movement to (876, 284)
2024-10-11 14:07:22	Mouse Move	Significant Movement to (1392, 362)
2024-10-11 14:07:23	Mouse Move	Significant Movement to (1904, 415)
2024-10-11 14:07:23	Mouse Release	Button Button.left at (2168, 438)
2024-10-11 14:07:23	Mouse Move	Significant Movement to (2112, 703)
2024-10-11 14:07:24	Mouse Click	Button Button.left at (2146, 773)
2024-10-11 14:07:25	Mouse Release	Button Button.left at (2144, 674)
2024-10-11 14:07:25	Mouse Move	Significant Movement to (2159, 415)
2024-10-11 14:07:26	Mouse Click	Button Button.left at (2143, 431)
2024-10-11 14:07:26	Mouse Release	Button Button.left at (2038, 433)
2024-10-11 14:07:32	Mouse Move	Significant Movement to (1865, 707)
2024-10-11 14:07:32	Mouse Move	Significant Movement to (1838, 999)
2024-10-11 14:07:32	Mouse Move	Significant Movement to (1771, 1290)
